"Segundo a norma ABNT NBR ISO IEC 27001:2013, o que define uma 'ameaça'?",Causa potencial de um incidente indesejado que pode resultar em danos a um sistema ou organização.
Como a norma ISO 27001 define o termo 'ataque'?,"Tudo aquilo que tenta destruir, expor, alterar, desativar, roubar ou obter acesso não autorizado a um ativo."
"No contexto de segurança da informação, o que é um 'ativo'?","Qualquer coisa que tenha valor para uma pessoa ou organização, incluindo dados, equipamentos e colaboradores."
Qual propriedade da segurança garante que a informação não esteja disponível para pessoas ou entidades não autorizadas?,Confidencialidade.
"A propriedade que protege a exatidão e a completeza de ativos, garantindo que o dado não foi adulterado, é a _____.",Integridade
O que caracteriza a propriedade da 'disponibilidade' em redes de computadores?,Tornar o dado acessível e utilizável sob demanda por fontes autorizadas.
Qual propriedade assegura a veracidade da identidade do emissor e do receptor das informações?,Autenticidade.
O que é a propriedade do 'não repúdio' (ou irretratabilidade)?,Garantia de que o autor de uma informação não pode negar falsamente a autoria de uma ação praticada.
Quais duas outras propriedades devem ser garantidas para que o 'não repúdio' seja alcançado?,Integridade e autenticidade.
A propriedade que garante que um sistema se comportará exatamente segundo o esperado e projetado é a _____.,Confiabilidade
O que afere a propriedade da 'legalidade' na segurança da informação?,"Se as ações tomadas têm o suporte de alguma legislação ou norma, como a LGPD no Brasil."
Qual é a principal diferença entre ataques ativos e ataques passivos?,"Ataques ativos tentam alterar recursos ou afetar a operação, enquanto passivos apenas tentam descobrir informações."
Em qual categoria se enquadra um ataque de interceptação que busca apenas obter informações confidenciais?,Ataque passivo.
"Ataques de interrupção, modificação e fabricação são classificados como ataques _____.",Ativos
O que caracteriza um ataque interno ('inside attack')?,Ataque realizado por alguém que está dentro da mesma rede (doméstica ou corporativa) que a vítima.
Qual é a distinção entre um ataque direto e um ataque indireto quanto ao método de entrega?,No direto o atacante age sozinho contra a vítima; no indireto o atacante emprega terceiros para realizar a ação.
Qual é o objetivo principal de um ataque de interrupção?,Indisponibilizar serviços de rede sobrecarregando sistemas ou desligando equipamentos.
