Quem é creditado pela criação das primeiras linhas de código da internet nos laboratórios do CERN?,Tim Berners-Lee.
"No contexto da Segurança da Informação, o que define uma ""vulnerabilidade""?",Uma fraqueza de um ativo ou grupo de ativos que pode ser explorada por uma ou mais ameaças.
"O que constitui uma ""ameaça"" para a informação?",Qualquer evento ou ação com potencial de causar danos a um ativo através da exploração de uma vulnerabilidade.
Qual a diferença fundamental entre ativos tangíveis e intangíveis?,"Ativos tangíveis possuem valor mensurável, enquanto o valor de ativos intangíveis é de difícil ou impossível medição."
Quais são as três classificações dos ativos tangíveis?,"Lógicos, físicos e humanos."
Dê um exemplo de um ativo tangível lógico citado no material.,"Algoritmos de busca, fórmulas químicas digitais ou bases de dados."
Por que colaboradores e prestadores de serviço são considerados ativos tangíveis?,"Devido ao custo mensurável de sua contratação, treinamento e valor de mercado no setor."
Dê um exemplo de ativo intangível de uma organização.,"A imagem da organização, sua marca ou a percepção da qualidade do produto."
"O que são os ""controles"" de Segurança da Informação?","Ferramentas, equipamentos, metodologias e processos usados para proteger um ativo contra ameaças."
Qual a regra básica para decidir a implementação de um controle em relação ao valor do ativo?,O custo de implementar o controle não deve ser superior ao valor do ativo protegido.
O que significa a sigla TIC?,Tecnologia da Informação e Comunicação.
Quais são os três pilares fundamentais da Segurança da Informação (Tríade CID)?,"Confidencialidade, Integridade e Disponibilidade."
"Qual o objetivo do pilar da ""Confidencialidade""?","Garantir que a informação seja acessada apenas por pessoas, sistemas ou processos autorizados."
O pilar que garante que a informação não foi alterada de forma indevida chama-se _____.,Integridade
"Qual o objetivo do pilar da ""Disponibilidade""?",Assegurar que os recursos e informações estejam acessíveis sempre que requisitados por usuários legítimos.
Ameaças que afetam equipamentos e infraestrutura física de um data center são classificadas como ameaças _____.,Físicas
"Ameaças relacionadas a problemas de software, algoritmos e códigos maliciosos são classificadas como ameaças _____.",Lógicas
Dê um exemplo de ameaça humana provocada por falta de conhecimento.,Um colaborador mal treinado que executa uma ação que gera incidentes ou prejuízos.
Qual a diferença entre ameaças de desastres naturais e de infraestrutura nas classificações não humanas?,"Desastres naturais derivam de causas da natureza (enchentes), enquanto infraestrutura deriva de falhas técnicas (sobrecarga elétrica)."
Qual o principal objetivo de um ataque de Negação de Serviço (DoS)?,Indisponibilizar um sistema ou equipamento para seus usuários legítimos.
"O que caracteriza a técnica de ""Engenharia Social""?",O uso de manipulação psicológica para explorar fraquezas humanas e obter informações confidenciais.
Como é chamado o ataque que altera a aparência de um site (pichação) para demonstrar superioridade técnica?,Defacement.
O termo para fraudes eletrônicas que usam e-mails ou sites falsos para roubar senhas e dados bancários é _____.,Phishing
Qual o número mínimo de caracteres recomendado para uma senha segura?,Pelo menos oito caracteres.
Quais elementos devem ser combinados para criar uma senha forte?,"Letras maiúsculas, minúsculas, números e caracteres especiais (não alfanuméricos)."
Por que não se deve utilizar nomes de usuários ou da própria empresa na criação de senhas?,Porque são informações fáceis de serem exploradas por atacantes que conhecem a vítima ou a instituição.
Qual a finalidade da norma ISO/IEC 27002?,Padronizar diretrizes e procedimentos para auxiliar na gestão e melhoria contínua da segurança da informação.
Por que o treinamento de segurança da informação deve ser frequente em vez de uma única sessão anual?,Porque os cibercriminosos desenvolvem novas estratégias constantemente e os funcionários tendem a esquecer orientações pontuais.
Qual a importância do envolvimento da diretoria na política de segurança cibernética?,Facilitar a criação de uma cultura de segurança e garantir o fornecimento de recursos estratégicos.
Qual técnica é usada para medir a eficácia de um programa de treinamento de conscientização?,"Exercícios de simulação de ataques, como o envio de e-mails de phishing controlados."
