Quem desenvolveu a linguagem C originalmente na década de 1970?,"Dennis Ritchie, nos laboratórios Bell Labs."
Por que a linguagem C é considerada de 'médio nível'?,Porque equilibra a facilidade de uso com um controle próximo ao hardware.
"Qual biblioteca padrão em C fornece funções para entrada e saída de dados, como o 'printf'?",A biblioteca `stdio.h`.
Termo: Compilador,Definição: Software que converte o código-fonte escrito em C para código de máquina executável.
"No comando de compilação 'gcc programa.c -o programa', qual a função da flag '-o'?",Definir o nome do arquivo executável gerado.
O tipo de dado _____ é utilizado para armazenar números de ponto flutuante com precisão dupla.,double
Qual é a representação numérica do valor 'falso' na linguagem C?,O número 0.
Como se declara uma variável booleana utilizando o padrão da linguagem C mencionado no material?,Utilizando o tipo `_Bool`.
Qual operador aritmético é utilizado para obter o resto de uma divisão inteira?,O operador de módulo `%`.
Diferencie o operador '=' do operador '=='.,"O operador `=` realiza atribuição, enquanto `==` realiza comparação de igualdade."
O operador lógico _____ retorna verdadeiro apenas se ambas as expressões conectadas forem verdadeiras.,&& (E lógico)
Qual é a função do operador lógico '||' em uma estrutura de decisão?,Retornar verdadeiro se pelo menos uma das condições for verdadeira.
O operador lógico '!' possui a função de _____ o valor lógico de uma expressão.,inverter
Qual estrutura de controle executa um bloco de código apenas se uma condição for verdadeira e outro bloco se for falsa?,A estrutura `if-else`.
Sintaxe: Operador Ternário,Formato: `condicao ? valor_se_verdadeiro : valor_se_falso;`.
Qual a principal utilidade da estrutura 'switch-case'?,Simplificar a seleção entre múltiplas opções baseadas no valor de uma única variável.
O que acontece em um 'switch-case' se o comando 'break' for omitido em um 'case'?,O programa continuará executando os blocos dos casos subsequentes até encontrar um break ou o fim do switch.
Qual a função do comando 'default' dentro de uma estrutura 'switch'?,Executar um bloco de código caso nenhum dos valores dos 'cases' corresponda à variável de controle.
Qual a diferença fundamental entre os loops 'while' e 'do-while'?,"O 'while' testa a condição antes da execução, enquanto o 'do-while' garante que o bloco seja executado ao menos uma vez."
Quais são as três partes essenciais definidas na linha inicial de um loop 'for'?,"Inicialização, condição e incremento/atualização."
Termo: Loop Infinito,Definição: Um ciclo de repetição em que a condição de parada nunca se torna falsa.
O comando _____ faz com que o loop pule a iteração atual e prossiga para a próxima verificação da condição.,continue
Em que contexto se utiliza um 'loop aninhado'?,"Quando é necessário realizar iterações múltiplas e hierárquicas, como em matrizes ou tabelas."
Qual é a complexidade de tempo típica de um loop aninhado duplo que percorre $n$ elementos?,A complexidade é $O(n^2)$.
O que define uma função recursiva?,É uma função que chama a si mesma para resolver subproblemas menores.
Qual é o componente essencial de uma recursão para evitar um estouro de pilha (stack overflow)?,"O caso-base, que interrompe as chamadas recursivas."
Como se define um 'procedimento' em C?,"É uma função que realiza uma tarefa mas não retorna valor, sendo declarada com o tipo `void`."
Qual operador é utilizado para declarar um ponteiro em C?,O operador asterisco `*`.
O operador '&' (e comercial) é utilizado para obter o _____ de uma variável.,endereço de memória
O que ocorre na 'aritmética de ponteiros' ao somar 1 a um ponteiro de inteiro?,O ponteiro avança para o próximo endereço de memória baseado no tamanho (bytes) de um `int`.
Como se acessam os elementos de um array em C?,"Através de índices, que iniciam em 0 e vão até o tamanho do array menos 1."
