Qual é o nome do sistema matemático que sustenta o desenvolvimento de tecnologias modernas e sistemas computacionais?,Álgebra booleana.
"Em um computador binário, as operações internas podem ser comparadas ao movimento de peças de qual brinquedo?",Lego.
Como são chamados os circuitos eletrônicos responsáveis por realizar operações lógicas simples com bits?,Portas lógicas (ou gates).
Quais são os dois únicos estados possíveis na lógica booleana?,0 e 1.
"Na analogia do Lego, qual ação lógica corresponde a 'complementar bits'?",Virar uma peça.
"Na analogia do Lego, qual ação lógica corresponde a 'somar bits'?",Juntar duas peças.
"Na analogia do Lego, qual ação lógica corresponde a 'mover bits'?",Deslizar uma peça.
"Na analogia do Lego, qual ação lógica corresponde a 'comparar bits'?",Conferir qual peça é maior.
"Na lógica digital, o bit 0 é geralmente associado a uma tensão ____.",Baixa.
"Na lógica digital, o bit 1 é geralmente associado a uma tensão ____.",Alta.
Qual pesquisador propôs em 1938 o uso da álgebra booleana para resolver problemas de projeto de circuitos?,Claude Shannon.
De qual instituição de tecnologia Claude Shannon fazia parte quando propôs o uso da lógica booleana?,Instituto de Tecnologia de Massachusetts (MIT).
A álgebra booleana funciona como uma ferramenta de ____ quando simplifica a função de um circuito digital.,Análise.
A álgebra booleana funciona como uma ferramenta de ____ quando especifica uma implementação simplificada de uma função.,Projeto.
Como se chama a tabela que representa todas as possíveis combinações de valores de entrada com seus respectivos resultados?,Tabela-verdade.
"Na lógica booleana, o valor binário 0 é considerado logicamente ____.",Falso.
"Na lógica booleana, o valor binário 1 é considerado logicamente ____.",Verdadeiro.
Qual é a fórmula para determinar o número de linhas de uma tabela-verdade com $n$ variáveis de entrada?,$2^n$.
"Em uma tabela-verdade de um circuito com 2 entradas, quantas combinações possíveis existem?",4 combinações.
"Em uma tabela-verdade de um circuito com 3 entradas, quantas combinações possíveis existem?",8 combinações.
Quais são as três operações básicas da álgebra booleana?,"AND, OR e NOT."
O sinal $+$ em uma expressão booleana como $X = A + B$ representa qual operação?,Operação OR (OU).
"Na operação OR de duas entradas, qual é o único caso em que a saída é 0?",Quando ambas as entradas são 0.
"Na operação OR, se pelo menos uma entrada for 1, qual será o valor da saída?",1 (Verdadeiro).
O sinal $(\cdot)$ em uma expressão booleana como $X = A \cdot B$ representa qual operação?,Operação AND (E).
"Na operação AND de duas entradas, qual é o único caso em que a saída é 1?",Quando ambas as entradas são 1.
"Na operação AND, se qualquer uma das entradas for 0, qual será o valor da saída?",0 (Falso).
Qual porta lógica realiza a operação de inversão de um sinal?,Porta NOT (NÃO).
Como é representada a negação da variável $A$ na notação booleana?,$\overline{A}$ (ou $A'$).
"Se a entrada de uma porta NOT é 0, qual é a saída?",1.
"Se a entrada de uma porta NOT é 1, qual é a saída?",0.
Qual elemento gráfico no símbolo de uma porta lógica denota a inversão da saída?,Um pequeno círculo.
A porta ____ resulta da combinação de uma porta OR seguida de um inversor.,NOR (Não OU).
Qual é a expressão booleana para a porta NOR com entradas $A$ e $B$?,$X = \overline{A + B}$.
"Na porta NOR, qual é o único caso em que a saída é 1?",Quando todas as entradas são 0.
A porta ____ resulta da combinação de uma porta AND seguida de um inversor.,NAND (Não E).
Qual é a expressão booleana para a porta NAND com entradas $A$ e $B$?,$X = \overline{A \cdot B}$.
"Na porta NAND, qual é o único caso em que a saída é 0?",Quando todas as entradas são 1.
O termo XOR é uma abreviação para qual expressão?,Exclusive OR (OU exclusivo).
Qual é o símbolo matemático utilizado para representar a operação XOR?,$\oplus$.
"Na porta XOR de duas entradas, qual é a saída quando as entradas são iguais?",0 (Falso).
"Na porta XOR de duas entradas, qual é a saída quando as entradas são diferentes?",1 (Verdadeiro).
