Qual é o significado da sigla CISC no contexto de arquitetura de computadores?,Complex Instruction Set Computer (Computador com Conjunto Complexo de Instruções).
Qual é o significado da sigla RISC no contexto de arquitetura de computadores?,Reduced Instruction Set Computer (Computador com Conjunto Restrito de Instruções).
Como são denominados os processadores atuais que combinam características das arquiteturas RISC e CISC?,Arquiteturas híbridas.
Qual componente do processador é responsável por dar a ordem para a execução de operações primitivas baseadas no conjunto de instruções?,Unidade de Controle.
A abordagem CISC foca na criação de instruções específicas para o maior número de _____ possível.,funcionalidades
Por que a Unidade de Controle de um processador CISC é considerada bastante complexa?,Devido à necessidade de decodificar uma extensa quantidade de instruções com diferentes níveis de complexidade.
"Na arquitetura CISC, a complexidade da Unidade de Controle é compensada por quais fatores?",Poucos acessos à memória e soluções adequadas para problemas específicos.
Em que década o termo CISC começou a ser utilizado de forma retroativa?,Início da década de 1980 (após a criação do conceito RISC).
Exemplo de instrução complexa: adicionar uma instrução para multiplicar números reais em vez de realizar repetidas _____.,somas
"De acordo com a tabela de processadores CISC, qual era o tamanho da instrução do IBM 370 (1970)?",2 a 6 bytes.
Qual processador CISC de 1978 possuía instruções que podiam variar de 2 a 57 bytes?,VAX11.
Quantas instruções possuía o processador Intel 8008 (1972)?,49 instruções.
Qual é a definição do endereçamento do tipo R-R na arquitetura CISC?,Instruções que utilizam registradores tanto para entrada quanto para saída de dados.
O que caracteriza o endereçamento do tipo R-M?,Um dos elementos (operando ou resultado) é buscado/escrito na memória e ao menos um em registrador.
O que caracteriza o endereçamento do tipo M-M?,Tanto os operandos quanto o resultado da operação estão localizados na memória principal.
Qual é o princípio fundamental da abordagem CISC em relação à manipulação de dados?,"Realizar operações complexas buscando operandos na memória, operando na ULA e guardando o resultado na memória."
Por que o código de máquina em arquiteturas CISC é geralmente mais simples de ser gerado pelo compilador?,Porque existe uma relação direta entre uma linha de código em alto nível e uma única instrução da arquitetura.
"No processador Intel 386, quantos pulsos de clock leva a instrução ADDI quando operada sobre um endereço de memória?",7 pulsos de clock (7 CLK).
"No processador Intel 386, quantos pulsos de clock leva a instrução ADDI quando operada sobre um registrador?",2 pulsos de clock (2 CLK).
Qual é a função do Clock em um processador?,Gerar pulsos em intervalos regulares para organizar e avançar as etapas de execução do circuito.
"Na analogia da hamburgueria CISC, a 'Busca de Instrução' (BI) equivale a qual tarefa?",Anotar o pedido.
"Na analogia da hamburgueria CISC, a entrega do pedido no balcão representa qual etapa do processamento?",WriteBack (Escrita de Registrador).
"Na analogia da hamburgueria CISC, o que representa o 'Acesso à Memória'?",A entrega do pedido em domicílio ou a busca de ingredientes no mercado.
Qual é a consequência de uma Unidade de Controle complexa (microprograma) no espaço físico do chip CISC?,Limitação do número de registradores disponíveis.
O que é o pipeline de um processador?,"Uma técnica de implementação que permite a execução de múltiplas instruções simultaneamente em diferentes estágios, como uma linha de montagem."
Qual microarquitetura da Intel chegou a possuir um pipeline de 31 estágios?,NetBurst (nas versões Prescott e Cedar Mill).
Quantos estágios de pipeline possui a microarquitetura P5 (Pentium)?,5 estágios.
Quantos estágios de pipeline possuem as microarquiteturas Sandy Bridge e Core?,14 estágios.
Por que a Unidade de Controle CISC não pode ser considerada simples?,Porque deve decodificar centenas de instruções variadas e gerar múltiplos sinais de controle para operações complexas.
"Na arquitetura RISC, as instruções realizam operações apenas sobre _____, com exceção das instruções de acesso à memória.",registradores
Quais são as únicas instruções na arquitetura RISC que servem para acessar a memória principal?,LOAD e STORE.
Como a simplicidade da Unidade de Controle na arquitetura RISC beneficia o projeto do processador?,Libera espaço físico no chip para a inclusão de uma quantidade significativamente maior de registradores.
