Qual é a menor unidade de representação de dados em um sistema de computação?,O bit.
Como o computador representa fisicamente os dados eletrônicos?,Sob a forma de voltagem ou corrente elétrica em formato binário (0 e 1).
Quantos bits formam um byte?,Um conjunto ordenado de 8 bits.
"Para converter um valor de bits para bytes, qual operação matemática deve ser realizada?",Dividir o valor por 8.
"Para converter um valor de bytes para bits, qual operação matemática deve ser realizada?",Multiplicar o valor por 8.
Qual é o resultado da conversão de 512 bits para bytes?,64 bytes.
O que constitui uma 'palavra' no contexto de unidades de informação?,Um conjunto ordenado de bytes que representa uma informação útil.
"Na hierarquia de dados, o que é formado por um conjunto organizado de registros?",Um arquivo.
"Na hierarquia de dados, o que é formado por um conjunto organizado de arquivos?",Um banco de dados.
Qual é a convenção comum para a abreviação simbólica de bit e byte?,Usa-se 'b' minúsculo para bit e 'B' maiúsculo para byte.
O prefixo 'K' (quilo) na computação representa qual valor em potência de 10?,$10^3$ (ou 1.000).
O prefixo 'K' (quilo) na computação representa qual valor exato em potência de 2?,$2^{10}$ (ou 1.024).
O prefixo 'M' (mega) na computação representa qual valor em potência de 10?,$10^6$ (ou 1.000.000).
O prefixo 'M' (mega) na computação representa qual valor exato em potência de 2?,$2^{20}$ (ou 1.048.576).
O prefixo 'G' (giga) representa qual valor em potência de 2?,$2^{30}$ (ou 1.073.741.824).
O prefixo 'T' (tera) representa qual valor em potência de 2?,$2^{40}$ (ou 1.099.511.627.776).
Por que os resultados expressos em base decimal para unidades de medida de computador são considerados aproximados?,Porque o computador opera nativamente na base binária (potências de 2).
"Na regra da seta para conversão de prefixos, o que indica uma seta para a direita?","Um submúltiplo do valor, resultando em um expoente negativo."
"Na regra da seta para conversão de prefixos, o que indica uma seta para a esquerda?","Um múltiplo do valor, resultando em um expoente positivo."
Qual é a variação padrão do expoente da base decimal entre dois prefixos vizinhos (ex: Mega para Giga)?,O expoente varia de 3 em 3.
Qual é a variação padrão do expoente da base binária entre dois prefixos vizinhos (ex: Mega para Giga)?,O expoente varia de 10 em 10.
Converta 256 bytes em bits.,2.048 bits.
Quais são as quatro bases de numeração principais abordadas no material?,"Decimal, Binária, Octal e Hexadecimal."
O que define um sistema de numeração como 'posicional'?,Cada algarismo possui um valor relativo diferente conforme sua posição no número.
O sistema de numeração romano é um exemplo de sistema _____.,Não posicional.
O que o número de uma base indica em um sistema posicional?,O total de símbolos diferentes possíveis naquele sistema.
Quais são os símbolos utilizados na base 16 (hexadecimal)?,Os algarismos de 0 a 9 e as letras de A a F.
"Em qualquer sistema posicional, como o valor do número cresce em relação às posições?",O valor cresce da direita para a esquerda.
"No sistema posicional, o que acontece quando a contagem atinge o último algarismo válido de uma posição?",A posição retorna a 0 e a posição à esquerda cresce uma unidade.
Qual é o valor decimal da letra 'A' no sistema hexadecimal?,10.
Qual é o valor decimal da letra 'F' no sistema hexadecimal?,15.
"Na adição em qualquer base, se o resultado da soma de dois algarismos for igual ou maior que a base, o que deve ser feito?",Subtrai-se o valor da base do resultado e passa-se uma unidade ('vai 1') para a esquerda.
Qual é o resultado da soma binária $1 + 1$?,0 com 'vai 1' para a esquerda (representado como 10).
"Na subtração de qualquer base, o que ocorre quando o minuendo é menor que o subtraendo?","Deve-se 'pedir 1 emprestado' da posição à esquerda, que vale o valor da base."
Quanto vale o 'emprestado' em uma subtração no sistema hexadecimal?,16.
Quanto vale o 'emprestado' em uma subtração no sistema binário?,2.
"Na subtração binária $0 - 1$, qual é o procedimento?",Pede-se emprestado da esquerda; o 0 torna-se 2 e o resultado é 1.
O que é a linguagem 'Assembly'?,Uma linguagem similar à de máquina que usa nomes simbólicos para operações e registros.
Por que as bases octal (8) e hexadecimal (16) são frequentemente usadas na computação?,Porque são múltiplas da base 2 e permitem compactar a visualização de valores binários.
