Qual é a definição básica de Inteligência Artificial (IA)?,"Área da computação que desenvolve sistemas capazes de simular habilidades humanas como aprender, decidir e resolver problemas."
Como a IA é frequentemente descrita em termos de funcionamento cognitivo?,Como um cérebro digital que aprende observando padrões e se torna mais preciso com a prática.
Cite três exemplos de IA presentes em ferramentas do cotidiano.,"Recomendações no YouTube, rotas no Google Maps e filtros de spam no e-mail."
A IA é capaz de sentir emoções ou manifestar desejos?,"Não, ela apenas emula certas capacidades humanas sem possuir sentimentos ou consciência."
"De que forma uma IA aprende a reconhecer um objeto, como um gato?",Observando milhares de exemplos (fotos) e identificando padrões que o diferenciam de outros animais.
"Para ser útil e segura, a IA depende de quais três pilares humanos?","Dados, treinamento e direcionamento consciente."
"Quem propôs a pergunta ""Máquinas podem pensar?"" em 1950?",Alan Turing.
O que foi o 'Teste de Turing'?,Uma avaliação para verificar se um computador poderia se passar por um humano em uma conversa.
Qual evento de 1956 é considerado o marco inicial da pesquisa em IA?,A Conferência de Dartmouth.
O que caracterizou o período conhecido como 'Inverno da IA' nas décadas de 1970 e 1980?,Cortes de investimentos e abandono de projetos devido a resultados que não acompanhavam as expectativas.
O que eram os 'Sistemas Especialistas' da década de 1980?,Programas baseados em regras fixas que simulavam o conhecimento de um profissional em uma área específica.
Qual a principal diferença entre a IA de regras fixas e o Aprendizado de Máquina (Machine Learning)?,"No Machine Learning, os sistemas aprendem sozinhos observando dados em vez de seguirem regras manuais programadas."
Qual marco tecnológico de 2022 popularizou a IA generativa para o grande público?,O lançamento do ChatGPT pela OpenAI.
Quanto tempo o ChatGPT levou para atingir 100 milhões de usuários?,Apenas dois meses.
Quais são os três fatores principais do recente 'boom' da IA?,"Acessibilidade, velocidade e utilidade prática."
O que diferencia a IA Generativa dos sistemas de IA tradicionais?,"A IA tradicional apenas reconhece ou classifica padrões, enquanto a Generativa cria conteúdos novos e originais."
O que é um 'prompt' no contexto de IA generativa?,É o comando ou instrução em linguagem natural enviado à IA para gerar uma resposta.
Cite quatro tipos de conteúdos que podem ser criados por IAs generativas.,"Textos, imagens, músicas e códigos de programação."
O que é o fenômeno da 'alucinação' em modelos de IA?,"A criação de informações, fatos ou fontes que parecem plausíveis, mas são inteiramente falsos."
Qual é o objetivo da 'Engenharia de Prompt'?,"Utilizar estratégias para elaborar comandos mais específicos, claros e eficazes para obter melhores resultados da IA."
"Na analogia da pizzaria, o que representa um prompt eficaz?","Um pedido detalhado (sabor, tamanho, borda, sem cebola) que garante uma entrega precisa."
Qual ferramenta de IA é integrada ao Microsoft Office 365 para produtividade?,Copilot (baseado no GPT-4).
O modelo 'Gemini' pertence a qual empresa de tecnologia?,Google (Alphabet).
Qual é a principal característica dos modelos 'LLaMA' da Meta?,"São modelos de código aberto (open-source), permitindo personalização por empresas e pesquisadores."
O que é 'Hardware'?,O conjunto de todos os componentes físicos que formam um dispositivo eletrônico.
O que estabelece a Lei de Moore?,Que o número de transistores em um chip dobra aproximadamente a cada 18 ou 24 meses.
Qual componente é conhecido como o 'cérebro' do computador?,CPU (Unidade Central de Processamento).
O que são 'Registradores' na CPU?,Pequenas áreas de memória interna da CPU que armazenam dados e instruções em uso imediato.
Qual é a função da 'Memória Cache'?,Atuar como memória intermediária veloz entre a CPU e a RAM para acelerar o acesso a dados frequentes.
O que significa dizer que a memória RAM é 'volátil'?,Que todo o seu conteúdo é apagado quando o dispositivo é desligado.
Qual a principal diferença física entre um HD e um SSD?,"O HD usa discos magnéticos giratórios, enquanto o SSD utiliza memória flash sem partes móveis."
O que são 'Microcontroladores'?,"Pequenos computadores integrados em um único chip, projetados para tarefas específicas em dispositivos como eletrodomésticos."
Qual é a menor unidade de informação em computação?,O bit (0 ou 1).
Quantos bits formam um Byte?,8 bits.
A quantos bytes equivale um Kilobyte ($KB$)?,$1.024$ bytes.
Qual unidade de medida segue o Gigabyte ($GB$)?,Terabyte ($TB$).
Por que os computadores utilizam a lógica binária?,Devido à simplicidade e confiabilidade de operar com sinais elétricos em apenas dois estados: ligado ou desligado.
Como as cores são representadas em sistemas digitais?,"Através de combinações de bits que indicam a intensidade de Vermelho, Verde e Azul (sistema RGB)."
O que é 'Software'?,"O conjunto de instruções, programas e dados que dizem ao hardware o que fazer."
Qual a diferença entre software de código aberto e código fechado?,"No código aberto, o código-fonte é público e modificável; no fechado, apenas o desenvolvedor original tem acesso."
O Linux e o Firefox são exemplos de que categoria de software?,Software de código aberto.
Diferencie 'Programa' de 'Software completo'.,Um programa realiza uma tarefa específica; um software completo é uma solução ampla composta por vários programas e arquivos auxiliares.
